Bazargate                ,400001,Mumbai  South     ,Mumbai         ,Mumbai
M.P.T.                   ,400001,Mumbai  South     ,Mumbai         ,Mumbai
Stock Exchange           ,400001,Mumbai  South     ,Mumbai         ,Mumbai
Tajmahal                 ,400001,Mumbai  South     ,Mumbai         ,Mumbai
Town Hall                ,400001,Mumbai  South     ,Mumbai         ,Mumbai
Mumbai G.P.O.            ,400001,Mumbai G.P.O.     ,Mumbai         ,Mumbai
Kalbadevi                ,400002,Mumbai  South     ,Mumbai         ,Mumbai
Ramwadi                  ,400002,Mumbai  South     ,Mumbai         ,Mumbai
S. C. Court              ,400002,Mumbai  South     ,Mumbai         ,Mumbai
Thakurdwar               ,400002,Mumbai  South     ,Mumbai         ,Mumbai
B.P.Lane                 ,400003,Mumbai  East      ,NA             ,Mumbai
Mandvi                   ,400003,Mumbai  East      ,NA             ,Mumbai
Masjid                   ,400003,Mumbai  East      ,NA             ,Mumbai
Null Bazar               ,400003,Mumbai  East      ,NA             ,Mumbai
Ambewadi                 ,400004,Mumbai  South     ,Mumbai         ,Mumbai
Charni Road              ,400004,Mumbai  South     ,Mumbai         ,Mumbai
Chaupati                 ,400004,Mumbai  South     ,Mumbai         ,Mumbai
Girgaon                  ,400004,Mumbai  South     ,Mumbai         ,Mumbai
Madhavbaug               ,400004,Mumbai  South     ,Mumbai         ,Mumbai
Opera House              ,400004,Mumbai  South     ,Mumbai         ,Mumbai
Asvini                   ,400005,Mumbai  South     ,Mumbai         ,Mumbai
Colaba Bazar             ,400005,Mumbai  South     ,NA             ,Mumbai
Colaba                   ,400005,Mumbai  South     ,Mumbai         ,Mumbai
Holiday Camp             ,400005,Mumbai  South     ,Mumbai         ,Mumbai
V.W.T.C.                 ,400005,Mumbai  South     ,Mumbai         ,Mumbai
Malabar Hill             ,400006,Mumbai  West      ,Mumbai         ,Mumbai
Bharat Nagar             ,400007,Mumbai  West      ,Mumbai         ,Mumbai
Grant Road               ,400007,Mumbai  West      ,Mumbai         ,Mumbai
N.S.Patkar Marg          ,400007,Mumbai  West      ,Mumbai         ,Mumbai
S V Marg                 ,400007,Mumbai  West      ,Mumbai         ,Mumbai
Tardeo                   ,400007,Mumbai  West      ,Mumbai         ,Mumbai
Falkland Road            ,400008,Mumbai  West      ,Mumbai         ,Mumbai
J.J.Hospital             ,400008,Mumbai  West      ,Mumbai         ,Mumbai
Kamathipura              ,400008,Mumbai  West      ,Mumbai         ,Mumbai
M A Marg                 ,400008,Mumbai  West      ,Mumbai         ,Mumbai
Mumbai Central           ,400008,Mumbai  West      ,Mumbai         ,Mumbai
Chinchbunder             ,400009,Mumbai  East      ,NA             ,Mumbai
Noor Baug                ,400009,Mumbai  East      ,NA             ,Mumbai
Princess Dock            ,400009,Mumbai  East      ,Mumbai         ,Mumbai
Dockyard Road            ,400010,Mumbai  East      ,Mumbai         ,Mumbai
Mazgaon Dock             ,400010,Mumbai  East      ,Mumbai         ,Mumbai
Mazgaon Road             ,400010,Mumbai  East      ,Mumbai         ,Mumbai
Mazgaon                  ,400010,Mumbai  East      ,Mumbai         ,Mumbai
V K Bhavan               ,400010,Mumbai  East      ,Mumbai         ,Mumbai
Agripada                 ,400011,Mumbai  West      ,Mumbai         ,Mumbai
BPC  Jacob Circle        ,400011,Mumbai  West      ,Mumbai         ,Mumbai
Chinchpokli              ,400011,Mumbai  West      ,Mumbai         ,Mumbai
Haines Road              ,400011,Mumbai  West      ,Mumbai         ,Mumbai
Jacob Circle             ,400011,Mumbai  West      ,Mumbai         ,Mumbai
BEST STaff Quarters      ,400012,Mumbai  East      ,NA             ,Mumbai
Chamarbaug               ,400012,Mumbai  East      ,Mumbai         ,Mumbai
Haffkin Institute        ,400012,Mumbai  East      ,Mumbai         ,Mumbai
Lal Baug                 ,400012,Mumbai  East      ,Mumbai         ,Mumbai
